Site_Id,LakeCode,ekoltasoid,palavpdvhs3_ha
39920,653931001,4.0,"3328,73"
39921,653921001,2.0,"5613,63"
39922,653921001,2.0,"5613,63"
39923,653921001,2.0,"5613,63"
39924,653921001,2.0,"5613,63"
39925,653921001,2.0,"5613,63"
39926,653921001,2.0,"5613,63"
39927,653921001,2.0,"5613,63"
39928,653921001,2.0,"5613,63"
39929,653911023,4.0,"392,26"
39930,653921001,2.0,"5613,63"
39931,653921001,2.0,"5613,63"
39932,653921001,2.0,"5613,63"
39933,653941003,4.0,"177,72"
39934,653941003,4.0,"177,72"
39935,653941026,2.0,"475,21"
39936,653911001,4.0,"174,56"
39939,654761001,,
39942,654761003,,
39944,654761002,2.0,"151,67"
39948,655371005,4.0,"66,26"
39949,655411005,,
39950,655411005,,
39951,655411005,,
39952,655411005,,
39955,656911007,4.0,"221,75"
39956,656931006,,
39957,656931006,,
39958,657211011,4.0,"117,34"
39959,657211011,4.0,"117,34"
39963,657931034,4.0,"119,6"
39965,657931034,4.0,"119,6"
39968,657941001,4.0,"198,59"
39972,658961001,3.0,"901,1"
39973,nan,,
39976,674361001,4.0,"171,19"
39977,674511002,4.0,"309,38"
39978,674731001,2.0,"3066,6"
39979,nan,,
39980,675111023,,
39981,675111023,,
39982,675111023,,
39983,676401051,,
39984,678221001,1.0,"91,94"
39985,678221001,1.0,"91,94"
39986,678921001,1.0,214
39988,678921001,1.0,214
39993,679951007,,
39994,680531016,,
39995,680911024,3.0,"19,2"
39998,712411001,3.0,"5134,86"
40004,714141002,4.0,73
40005,714141001,4.0,"93,8"
40006,719121018,3.0,"109,96"
40020,42641001,,
40025,47811003,,
40026,47811003,,
40027,47811003,,
40028,41521002,,
40029,41521002,,
40033,42111001,,
40035,42111107,,
40036,42111107,,
40037,42111107,,
40046,42211001,,
40047,42211001,,
40049,42211001,,
40050,42341020,,
40051,42341020,,
40052,42341020,,
40053,42341020,,
40054,42341020,,
40055,42341020,,
40056,42341020,,
40057,42341020,,
40058,42311001,,
40061,41781029,,
40062,41781029,,
40063,41781030,,
40064,41771032,,
40065,142211034,,
40066,145121003,,
40067,146531016,,
40069,356251010,1.0,"162,82"
40070,146821007,,
40071,142211184,,
40072,142741011,,
40073,142741009,,
40074,142741008,,
40075,142311006,,
40076,146521007,,
40077,146531020,,
40078,146531015,,
40079,146581002,,
40080,145571002,,
40081,145341002,,
40082,145491005,,
40083,146621003,4.0,"64,75"
40084,146641007,,
40085,146731030,,
40086,146731031,,
40087,146641008,,
40088,146641009,,
40089,146641022,,
40091,146311006,,
40092,146291015,,
40093,146731003,,
40094,144721001,3.0,"10064,73"
40095,144271029,,
40096,144711016,,
40097,144771004,1.0,"226,42"
40098,147651006,,
40099,144211051,,
40100,144211048,,
40101,142211001,3.0,"45886,18"
40101,142211001,3.0,"1703,6"
40101,142211001,2.0,"1016,5"
40101,142211001,1.0,"296,66"
40102,142311032,,
40103,357641020,4.0,"263,88"
40104,356541001,,
40105,148331006,2.0,"102,12"
40106,148311001,3.0,"2856,87"
40106,148311001,2.0,"1753,46"
40107,148311001,3.0,"2856,87"
40107,148311001,2.0,"1753,46"
40108,42931007,,
40111,142951015,1.0,"221,44"
40113,141921029,4.0,"93,75"
40114,141921026,1.0,"110,36"
40115,141921041,2.0,"151,55"
40116,141921041,2.0,"151,55"
40118,141841023,1.0,"71,67"
40119,nan,,
